,Unnamed: 0,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,price,location
165,165,Entire home/apt,Amsterdam,Westerpark,3,5.0,2,72.0,0101000020E61000000F61FC34EE7D1340A8E15B5837324A40
166,166,Entire home/apt,Amsterdam,Bijlmer Centrum,0,0.0,4,60.0,0101000020E610000006668522DDCF1340810A47904A294A40
167,167,Entire home/apt,Amsterdam,Oud Noord,11,3.5,3,60.0,0101000020E610000083DA6FED44A91340FFEC478AC8324A40
168,168,Entire home/apt,Amsterdam,De Aker / Nieuw Sloten,37,4.5,4,60.0,0101000020E61000000DC51D6FF23B134093FDF334602C4A40
169,169,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,12,4.5,2,57.0,0101000020E610000056B77A4E7ADF1340ADDA3521AD2F4A40
170,170,Entire home/apt,Amsterdam,De Baarsjes / Oud West,5,4.5,2,58.0,0101000020E6100000522B4CDF6B68134073F7393E5A2E4A40
171,171,Entire home/apt,Amsterdam,Centrum Oost,3,5.0,2,60.0,0101000020E61000000114234BE6B81340A30392B06F2F4A40
172,172,Entire home/apt,Amsterdam,Watergraafsmeer,41,4.5,2,58.0,0101000020E6100000710168942EAD13409C69C2F6932B4A40
173,173,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,195,4.5,2,42.0,0101000020E6100000D0622992AFC413402AC76471FF2F4A40
174,174,Entire home/apt,Amsterdam,Centrum West,24,4.5,2,43.0,0101000020E6100000AFB2B6291E97134043E4F4F57C2F4A40
175,175,Entire home/apt,Amsterdam,Geuzenveld / Slotermeer,0,0.0,2,60.0,0101000020E6100000FB0626378A4C134012876C205D304A40
176,176,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,57.0,0101000020E610000005A4FD0FB0961340E2033BFE0B2C4A40
177,177,Entire home/apt,Amsterdam,Oud Oost,0,0.0,2,60.0,0101000020E610000067EDB60BCDA513409850C1E1052D4A40
178,178,Entire home/apt,Amsterdam,Westerpark,0,0.0,2,6000.0,0101000020E6100000EC884336907E1340F98381E7DE2F4A40
179,179,Entire home/apt,Amsterdam,Geuzenveld / Slotermeer,0,0.0,2,1799.0,0101000020E610000001DF6DDE3849134027BEDA519C2F4A40
180,180,Entire home/apt,Amsterdam,Centrum Oost,0,0.0,16,3770.0,0101000020E6100000261E5036E59A1340266DAAEE912F4A40
181,181,Entire home/apt,Amsterdam,Centrum West,6,5.0,16,1920.0,0101000020E6100000F2D24D62109813408FDE701FB92F4A40
182,182,Entire home/apt,Amsterdam,Centrum West,0,0.0,4,1558.0,0101000020E6100000B2834A5CC7981340F46F97FDBA2F4A40
183,183,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,0,0.0,5,1078.0,0101000020E6100000A3E9EC64708413404DA25EF0692C4A40
184,184,Entire home/apt,Amsterdam,Geuzenveld / Slotermeer,0,0.0,2,1079.0,0101000020E6100000596ABDDF68471340C21550A8A72F4A40
185,185,Entire home/apt,Amsterdam,Centrum West,0,0.0,6,1134.0,0101000020E61000008D96033DD4861340EC6987BF262F4A40
